title,language,country,id,year,first _author_last_name,first _author_first_name,first _author_initials,last _author_last_name,last _author_first_name,last _author_initials,id,abstract
"Production of the 42-kDa fragment of Plasmodium falciparum merozoite surface protein 1, a leading malaria vaccine antigen, in Arabidopsis thaliana seeds.",eng,England,PBI526,2010,Lau,On Sun,OS,Sun,Samuel S M,SS,PBI526,"Malaria is widely associated with poverty, and a low-cost vaccine against malaria is highly desirable for implementing comprehensive vaccination programmes in developing countries. Production of malaria antigens in plants is a promising approach, but its development has been hindered by poor expression of the antigens in plant cells. In the present study, we targeted plant seeds as a low-cost vaccine production platform and successfully expressed the Plasmodium falciparum 42-kDa fragment of merozoite surface protein 1 (MSP1₄₂), a leading malaria vaccine candidate, at a high level in transgenic Arabidopsis seeds. We overcame hurdles of transcript and protein instabilities of MSP1₄₂ in plants by synthesizing a plant-optimized MSP1₄₂ cDNA and either targeting the recombinant protein to protein storage vacuoles or fusing it with a stable plant storage protein. An exceptional improvement in MSP1₄₂ expression, from an undetectable level to 5% of total extractable protein, was achieved with these combined strategies. Importantly, the plant-derived MSP1₄₂ maintains its natural antigenicity and can be recognized by immune sera from malaria-infected patients. Our results provide a strong basis for the development of a plant-based, low-cost malaria vaccine."
Malaria in children.,eng,United Kingdom,S0140-6736(10)60447-3,2010,Crawley,Jane,J,Nosten,François,F,S0140-6736(10)60447-3,"The past decade has seen an unprecedented surge in political commitment and international funding for malaria control. Coverage with existing control methods (ie, vector control and artemisinin-based combination therapy) is increasing, and, in some Asian and African countries, childhood morbidity and mortality from malaria caused by Plasmodium falciparum are starting to decline. Consequently, there is now renewed interest in the possibility of malaria elimination. But the ability of the parasite to develop resistance to antimalarial drugs and increasing insecticide resistance of the vector threaten to reduce and even reverse current gains. Plasmodium vivax, with its dormant liver stage, will be particularly difficult to eliminate, and access to effective and affordable treatment at community level is a key challenge. New drugs and insecticides are needed urgently, while use of an effective vaccine as part of national malaria control programmes remains an elusive goal. This Seminar, which is aimed at clinicians who manage children with malaria, especially in resource-poor settings, discusses present knowledge and controversies in relation to the epidemiology, pathophysiology, diagnosis, treatment, and prevention of malaria in children."
Malaria vaccine: the pros and cons.,eng,Nigeria,20232750,2010,Saleh,J A,JA,Aji,B,B,20232750,"BACKGROUND: Malaria is an important parasitic disease of humans caused by infection with a parasite of the genus Polasmodium and transmitted by female anopheles. Infection caused by P. falciparum is the most serious of all the other species (P. ovale, P. vivax and P. malariae) especially in terms of morbidity and mortality hence the reason why most of the research has been focussed on this species. The disease affects up to about 40 per cent of the world's population with around 300-500 million people currently infected and mainly in the tropics. It has a high morbidity and mortality especially in resource-poor tropical and subtropical regions with an economic fall of about US$ 12 billion annually in Africa alone.METHOD: relevant literatures were reviewed from medical journals, library search and internet source. Other relevant websites like PATH, Malaria Vaccine Initiative and Global Fund were also visited to source for information. The key words employed were: malaria, vaccine, anopheles mosquito, insecticide treated bed-nets, pyrethroids and Plasmodium.RESULTS: several studies have underscored the need to develop an effective human malaria vaccine for the control and possible eradication of malaria across the globe with the view to reduce the morbidity and mortality associated with the disease, improve on the social and economic losses and also protect those at risk.CONCLUSION: It is very obvious that the need for effective human malaria vaccine is not only to serve those living in malaria endemic regions but also the non-immune travellers especially those travelling to malaria endemic areas; this would offer cost effective means of preventing the disease, reducing the morbidity and mortality associated with it in addition to closing the gap left by other control measures. It is very obvious that there is no single control measure known to be effective in the control of malaria, hence the need for combination of more than one method with the aim of achieving synergy in the total control and possible eradication of the disease. It suffices to say that despite the use of combination of more than one method (e.g., drugs treating patients, breaking the life cycle of the vector mosquito using larvicides, clearing swamps and other mosquito breeding sites), no much progress was made towards achieving this goal, hence the renewed interest especially with regards to vaccine development."
Chloroplast-derived vaccine antigens confer dual immunity against cholera and malaria by oral or injectable delivery.,eng,United States,PBI479,2010,Davoodi-Semiromi,Abdoreza,A,Daniell,Henry,H,PBI479,"Cholera and malaria are major diseases causing high mortality. The only licensed cholera vaccine is expensive; immunity is lost in children within 3 years and adults are not fully protected. No vaccine is yet available for malaria. Therefore, in this study, the cholera toxin-B subunit (CTB) of Vibrio cholerae fused to malarial vaccine antigens apical membrane antigen-1 (AMA1) and merozoite surface protein-1 (MSP1) was expressed in lettuce and tobacco chloroplasts. Southern blot analysis confirmed homoplasmy and stable integration of transgenes. CTB-AMA1 and CTB-MSP1 fusion proteins accumulated up to 13.17% and 10.11% (total soluble protein, TSP) in tobacco and up to 7.3% and 6.1% (TSP) in lettuce, respectively. Nine groups of mice (n = 10/group) were immunized subcutaneously (SQV) or orally (ORV) with purified antigens or transplastomic tobacco leaves. Significant levels of antigen-specific antibody titres of immunized mice completely inhibited proliferation of the malarial parasite and cross-reacted with the native parasite proteins in immunoblots and immunofluorescence studies. Protection against cholera toxin challenge in both ORV (100%) and SQV (89%) mice correlated with CTB-specific titres of intestinal, serum IgA and IgG1 in ORV and only IgG1 in SQV mice, but no other immunoglobulin. Increasing numbers of interleukin-10(+) T cell but not Foxp3(+) regulatory T cells, suppression of interferon-gamma and absence of interleukin-17 were observed in protected mice, suggesting that immunity is conferred via the Tr1/Th2 immune response. Dual immunity against two major infectious diseases provided by chloroplast-derived vaccine antigens for long-term (&gt;300 days, 50% of mouse life span) offers a realistic platform for low cost vaccines and insight into mucosal and systemic immunity."
Overview of plant-derived vaccine antigens: Dengue virus.,eng,Canada,22202223,2011,Malabadi,Ravindra B,RB,Sunwoo,Hoon,H,22202223,"This review highlights the advantages and current status of plant-derived vaccine development with special reference to the dengue virus. There are numerous problems involved in dengue vaccine development, and there is no vaccine against all four dengue serotypes. Dengue vaccine development using traditional approaches has not been satisfactory in terms of inducing neutralizing antibodies. Recently, these issues were addressed by showing a very good response to inducing neutralizing antibodies by plant-derived dengue vaccine antigens. This indicates the feasibility of using plant-derived vaccine antigens as a low-cost method to combat dengue and other infectious diseases. The application of new methods and strategies such as dendritic cell targeting in cancer therapy, severe acute respiratory syndrome, tuberculosis, human immune deficiency virus, and malaria might play an important role. These new methods are more efficient than traditional protocols. It is expected that in the near future, plant-derived vaccine antigens or antibodies will play an important role in the control of human infectious diseases."
Enlarging the &quot;Audacious Goal&quot;: elimination of the world's high prevalence neglected tropical diseases.,eng,Netherlands,S0264-410X(11)00888-7,2011,Hotez,Peter,P,Hotez,Peter,P,S0264-410X(11)00888-7,"The high prevalence neglected tropical diseases (NTDs) exhibit a global disease burden that exceeds malaria, tuberculosis, and other better known global health conditions; they also represent a potent force in trapping the world's poorest people in poverty. Through extremely low cost national programs of disease mapping and mass drug administration (MDA) for the seven most common NTDs, integrated NTD control and elimination efforts are now in place in more than 14 countries through the support of the United States Agency for International Development (USAID), the British Department for International Development (DFID), and the Global Network for NTDs and its partners. The World Health Organization (WHO) estimates that in 2008 some 670 million people in 75 countries received NTD treatments through these and other sponsored programs. With continued successes the next decade could witness the global elimination of blinding trachoma, human Africa trypanosomiasis (HAT), lymphatic filariasis (LF), onchocerciasis, trachoma, and leprosy as public health problems, in addition to the eradication of dracunculiasis. For other high prevalence NTDs, including hookworm infection, schistosomiasis, Chagas disease and leishmaniasis, new drugs and vaccines may still be required. Increasingly it is recognized that the high prevalence NTDs exhibit extensive geographic overlap and polyparasitism is commonly found throughout the world's low income countries. Therefore, global elimination will also require integrated packages of drugs together with vaccine-linked chemotherapy. Ultimately, the global elimination of the high prevalence NTDs will require continued large-scale support from the U.S. Government and selected European governments, however, the emerging market economies, such as Brazil, China, India, Mexico, and Nigeria, and wealthy countries in the Middle East will also have to substantially contribute."
Vaccines of the future.,eng,Netherlands,S0264-410X(11)00983-2,2011,Nossal,G J V,GJ,Nossal,G J V,GJ,S0264-410X(11)00983-2,"Vaccines of the future can be divided into three broad groups, namely those of the near future (&lt;10 years); the medium-term future (10-19 years); and the long-term future (20-50 years). For the near future, there is some &quot;low hanging fruit&quot; which is clearly on the horizon, such as a Vi-conjugate vaccine for typhoid or a protein-based vaccine for Neisseria meningitidis serogroup B. Just slightly more distant will be vaccines for shigellosis and a common protein vaccine for Streptococcus pneumoniae. Also in this group, but not as far advanced, will be a vaccine for Group A streptococcus. I place vaccines for the &quot;big three&quot;, malaria, tuberculosis and HIV/AIDS in the medium term basket. The sporozoite malaria vaccine RTS-S is closest, but surely a definitive malaria vaccine will also require antigens from other stages of the life cycle. A tuberculosis vaccine will be either a re-engineered BCG; or a molecular vaccine with several protein antigens; or one based on prime-boost strategies. What will delay this is the high cost of clinical trials. For HIV/AIDS, the partial success of the Sanofi-Pasteur prime-boost vaccine has given some hope. I still place much faith in antibody-based vaccines and especially on mimotopes of the env transitional state assumed after initial CD4 binding. Monoclonal antibodies are also leading us in interesting directions. Longer term, the vaccine approach will be successful for autoimmune diseases, e.g. juvenile diabetes and coeliac disease. Cancer vaccines are also briefly surveyed. Adjunct issues needing to be addressed include more extensive combinations; alternate delivery systems; and more intelligently designed adjuvants based on knowledge of the innate immune system."
"From smallpox eradication to the future of global health: innovations, application and lessons for future eradication and control initiatives.",eng,Netherlands,S0264-410X(11)01409-5,2011,Tomori,Oyewale,O,Tomori,Oyewale,O,S0264-410X(11)01409-5,"Technological advancements, including landmark innovations in vaccinology through molecular virology, and significant transformation and changes in the society have taken place since the eradication of smallpox thirty years ago. The success with eradicating smallpox gave confidence for initiating the eradication of other diseases, such as malaria and polio. However, these efforts have not been as effective, as recorded for small pox, for a variety of reasons. There is now a debate within the global health community as to whether eradication campaigns should be abandoned in favor of less costly and perhaps more effective primary health and containment or control programmes. Significant changes that have taken place in the last thirty years, since the eradication of smallpox include, among others, (i) post-colonial political changes, with varying commitment to disease eradication initiatives, especially in the parts of the world most burdened by infectious and vaccine preventable diseases, (ii) innovations leading to the development of new and highly effective vaccines, targeted to specific diseases, (iii) the transformation brought about by improvement in education and the new global access to information (cell phones, internet, etc.), leading to an unlimited access to different types of information, subject to either positive or negative use. At the onset of eradication of smallpox, global health was confined in its operation. Today, global health is at the intersection of medical and social science disciplines-including demography, economics, epidemiology, political economy and sociology. Therefore, in considering the issue of disease eradication, medical and social perspectives must be brought into play, if future eradication programmes must succeed. The paper discusses the roles of these disciplines in disease control and eradication, especially as it affects sub Saharan Africa, the melting pot and verdant pasture of infectious diseases."
"Production, characterisation and immunogenicity of a plant-made Plasmodium antigen--the 19 kDa C-terminal fragment of Plasmodium yoelii merozoite surface protein 1.",eng,Germany,10.1007/s00253-011-3772-7,2011,Ma,Charles,C,Coppel,Ross L,RL,10.1007/s00253-011-3772-7,"Development of a safe, effective and affordable malaria vaccine is central to global disease control efforts. One of the most highly regarded proteins for inclusion in an asexual blood stage subunit vaccine is the 19-kDa C-terminal fragment of merozoite surface protein 1 (MSP1(19)). As production of vaccine antigens in plants can potentially overcome cost and delivery hurdles, we set out to produce MSP1(19) in plants, characterise the protein and test its immunogenicity using a mouse model. Plasmodium yoelii MSP1(19) (PyMSP1(19)) was produced in Nicotiana benthamiana using the MagnICON® deconstructed TMV-based viral vector. PyMSP1(19) yield of at least 23% total soluble protein (TSP;3-4 mg/g Fwt) were achieved using a codon-optimised construct that was targeted to the apoplast. Freeze-dried leaf powder contained at least 20 mg PyMSP1(19) per gram dry weight and the protein retained immunogenicity in this form for more than 2 years. Characterisation studies, including SDS-PAGE, mass spectrometry and circular dichroism, indicated that the plant-expressed PyMSP1(19) was similar to its Escherichia coli- and Saccharomyces cerevisiae-expressed counterparts. Purified plant-made PyMSP1(19) induced strong immune responses following intraperitoneal immunisation, although titres were lower than those induced by an equivalent dose of purified E. coli-expressed PyMSP1(19). The reason for this is uncertain but may be due to differences in the oligomerisation profile of the vaccines. The plant-made PyMSP1(19) vaccine was also found to be orally immunogenic when delivered alone or following immunisation with a PyMSP1(19) DNA vaccine. This study adds to an increasing body of research supporting the feasibility of plants as both a factory for the production of malaria antigens, and as a safe and affordable platform for oral delivery of a temperature-stable malaria vaccine."
Cost-effectiveness of the introduction of a pre-erythrocytic malaria vaccine into the expanded program on immunization in sub-Saharan Africa: analysis of uncertainties using a stochastic individual-based simulation model of Plasmodium falciparum malaria.,eng,United States,S1098-3015(11)01526-9,2011,Maire,Nicolas,N,Smith,Thomas A,TA,S1098-3015(11)01526-9,"OBJECTIVE: To evaluate the cost-effectiveness of introducing the RTS,S malaria vaccine into the Expanded Programme on Immunization (EPI) in Sub-Saharan Africa (SSA), the contributions of different sources of uncertainty, and the associated expected value of perfect information (EVPI).METHODS: Vaccination was simulated in populations of 100,000 people at 10 different entomological inoculation rates (EIRs), using an existing stochastic model and a 10-year time horizon. Incremental cost-effectiveness ratios (ICERs) and EVPI were computed from weighted averages of outputs using two different assignments of the EIR distribution in 2007. Uncertainty was evaluated by resampling of epidemiological, vaccination, and health systems model parameters.RESULTS: Health benefits were predicted consistently only at low transmission, and program costs always substantially exceeded case management savings. Optimal cost-effectiveness was at EIR of about 10 infectious bites per annum (ibpa). Main contributors to ICER uncertainty were uncertainty in transmission intensity, price per vaccine dose, decay rate of the vaccine effect, degree of homogeneity in host response, and some epidemiological model parameters. Other health system costs were unimportant. With a ceiling ratio of 207 international dollars per disability-adjusted life-year averted, 52.4% of parameterizations predicted cost-effectiveness in the primary analysis.CONCLUSIONS: Cost-effectiveness of RTS,S will be maximal in low endemicity settings (EIR 2-20 ibpa). Widespread deployment of other transmission-reducing interventions will thus improve cost-effectiveness, suggesting a selective introduction strategy. EVPI is substantial. Accrual of up-to-date information on local endemicity to guide deployment decisions would be highly efficient."
European Vaccine Initiative: lessons from developing malaria vaccines.,eng,England,10.1586/erv.11.158,2011,Geels,Mark J,MJ,Leroy,Odile,O,10.1586/erv.11.158,"For over 10 years, the European Vaccine Initiative (EVI; European Malaria Vaccine Initiative until 2009) has contributed to the development of 24 malaria candidate vaccine antigens with 13 vaccine candidates being advanced into Phase I clinical trials, two of which have been transitioned for further clinical development in sub-Saharan Africa. Since its inception the EVI organization has operated as a funding agency, but with a clear service-oriented strategy. The scientific successes and difficulties encountered during these years and how these efforts have led to standardization and harmonization in vaccine development through large-scale European consortia are discussed. In the future, the EVI will remain instrumental in the pharmaceutical and clinical development of vaccines against 'diseases of poverty' with a continued focus on malaria. EVI will continue to focus on funding and managing preclinical evaluation up to Phase I/II clinical trials and strengthening the vaccine-development infrastructure in Europe, albeit with a global orientation."
"Malaria. Vaccine trial meets modest expectations, buoys hopes.",eng,United States,334/6054/298,2011,Vogel,Gretchen,G,Roberts,Leslie,L,334/6054/298,
The case for PfEMP1-based vaccines to protect pregnant women against Plasmodium falciparum malaria.,eng,England,10.1586/erv.11.113,2011,Hviid,Lars,L,Hviid,Lars,L,10.1586/erv.11.113,"Vaccines are very cost-effective tools in combating infectious disease mortality and morbidity. Unfortunately, vaccines efficiently protecting against infection with malaria parasites are not available and are not likely to appear in the near future. An alternative strategy would be vaccines protecting against the disease and its consequences rather than against infection per se, by accelerating the development of the protective immunity that is normally acquired after years of exposure to malaria parasites in areas of stable transmission. This latter strategy is being energetically pursued to develop a vaccine protecting pregnant women and their offspring against mortality and morbidity caused by the accumulation of Plasmodium falciparum-infected erythrocytes in the placenta. It is based on a detailed understanding of the parasite antigen and the host receptor involved in this accumulation, as well as knowledge regarding the protective immune response that is acquired in response to placental P. falciparum infection. Nevertheless, it remains controversial in some quarters whether such a vaccine would have the desired impact, or indeed whether the strategy is meaningful. This article critically examines the relevance of several perceived obstacles to development of a vaccine against placental malaria."
Perceptions of malaria and vaccines in Kenya.,eng,United States,17496,2011,Ojakaa,David,D,Bingham,Allison,A,17496,"Malaria is a leading cause of morbidity and mortality in Kenya. To confront malaria, the Government of Kenya has been implementing and coordinating three approaches - vector control by distributing insecticide-treated bed nets and indoor residual spraying, case management, and the management of malaria during pregnancy. Immunization is recognized as one of the most cost-effective public health interventions. Efforts are underway to develop a malaria vaccine. The most advanced (RTS,S), is currently going through phase 3 trials. Although recent studies show the overwhelming support in the community for the introduction of a malaria vaccine, two issues - culture and the delivery of child immunization services - need to be considered. Alongside the modern methods of malaria control described above, traditional methods coexist and act as barriers to attainment of universal immunization. The gender dimension of the immunization programme (where women are the main child caretakers) will also need to be addressed. There is an age dimension to child immunization programmes. Two age cohorts of parents, caregivers, or family members deserve particular attention. These are the youth who are about to initiate childbearing, and the elderly (particularly mother-in-laws who often play a role in child-rearing). Mothers who are less privileged and socially disadvantaged need particular attention when it comes to child immunization. Access to immunization services is often characterized in some Kenyan rural communities in terms of living near the main road, or in the remote inaccessible areas. Should a malaria vaccine become available in the future, a strategy to integrate it into the immunization programme in Kenya should take into account at least two issues. First, it must address the fact that alongside the formal approach in malaria control, there exist the informal traditional practices among communities. Secondly, it must address particular issues in the delivery of immunization services."
