"","title","language","country","id","year","month","day","affiliation","first _author_last_name","first _author_first_name","first _author_initials","last _author_last_name","last _author_first_name","last _author_initials","all_authors","abstract","url"
"11","HIV vaccine trials in South Africa--some ethical considerations.","eng","SOUTH AFRICA","11022621",2000,10,7,"Department of Psychology, University of Natal, Pietermaritzburg.","Lindegger","G","G","Vardas","E","E","G Lindegger, C Slack, E Vardas","","http://www.ncbi.nlm.nih.gov/pubmed/?term=11022621"
"12","[WHO spearheads global initiative to eradicate hepatitis B].","swe","SWEDEN","11016226",2000,10,4,"Karolinska sjukhuset, Stockholm. staffan.sylvan@sme.sll.se","Sylvan","S","S","Sylvan","S","S","S Sylvan","It is estimated that over 350 million people live with a chronic hepatitis B virus (HBV) infection, claiming over one million deaths per year due to progress of the chronic disease to cirrhosis and/or hepatocellular carcinoma (HCC). An extended program of immunization including hepatitis B vaccine for children under one year of age has been launched in more than 110 countries. Recent studies conclude that mass hepatitis B immunization is effective in preventing HBV infection and has resulted in a decrease in the occurrence of HCC in children living in countries where hepatitis B is endemic. However, the vast majority of infected children live in the poorest developing countries in Africa and Asia that currently cannot afford the vaccine or lack the basic infrastructure necessary to deliver a national immunization service. The Global Alliance for Vaccines and Immunization (GAVI) was established in 1999 as an alliance of WHO, UNICEF, the World Bank, industry, foundations, and other partners to reinvent immunization for the 21st century, by forging a common vision and new ways of working together at global, regional and national levels. WHO recommends global elimination of hepatitis B by universal infant and/or adolescent immunization, but health planners in Sweden and the other Scandinavian countries, the Netherlands and UK have not yet been convinced of the cost-effectiveness of HB-prevention through routine childhood immunization with HB-vaccine. The inclusion of hepatitis B vaccine in already available multivalent vaccines may alter this situation in the future, but until then an intensified vaccination strategy aimed at those groups of individuals that are particularly at risk for hepatitis B should be adopted in accordance with the recommendations of The Swedish National Board of Health (SOSFS 1991:2) and local instructions from the County Medical Officer for Communicable Disease Control.","http://www.ncbi.nlm.nih.gov/pubmed/?term=11016226"
"13","AIDS management options for SA.","eng","SOUTH AFRICA","10901812",2000,7,21,NA,"Mbewu","A","A","Onyebujoh","P","P","A Mbewu, P Matchaba, S Reddy, P Onyebujoh","","http://www.ncbi.nlm.nih.gov/pubmed/?term=10901812"
"14","[Malaria vaccines--which vaccines to whom?].","nor","NORWAY","10901079",2000,7,20,"European Malaria Vaccine Initative, Senter for internasjonal helse, Universitetet i Bergen, Armauer Hansens Hus.","Jepsen","S","S","Jepsen","S","S","S Jepsen","More than a third of the world's population is at risk of contracting malaria. It is estimated that 200 people, primarily children in Africa, die of malaria every hour of every day all year round. Malaria is one of the main obstacles to socio-economic development in Africa. Vaccines against malaria are considered to be the control tool most in need of development. Fundamentally there are three types of malaria vaccines: vaccines against the invading sporozoite or the parasite's development in the liver cells, vaccines directed against the parasite's invasion of and development in the red blood cells; vaccines directed against the fertilisation process in the mosquito. Each malaria vaccine has its own area of application. In spite of promising results in animals it has been difficult to reproduce the results in clinical trials in humans. Recently, however, an experimental vaccine containing a sporozoite protein coupled to a hepatitis B surface molecule with a new adjuvant has been tested in Gambia. The results of these tests are promising, but it is unlikely that the vaccine will be of use in endemic areas. Increased focus on one of the world's biggest health problems has to a certain extent promoted the funding of development work on malaria vaccines. Despite minimal interest from the pharmaceutical industry, a number of experimental vaccines for clinical phase I trials are on their way. However, it will take a huge increase in public financial resources to secure effective and safe malaria vaccines for those most in need of them: people in developing countries and particularly in Sub-Saharan Africa.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10901079"
"15","Africa boosts AIDS vaccine R&amp;D.","eng","UNITED STATES","10896604",2000,7,15,NA,"Cohen","J","J","Cohen","J","J","J Cohen","Efforts have recently heated up in several African countries to tailor-make preparations that many believe offer the best hope yet for stopping HIV cold. But all are at the earliest stages, which means it will take years before a vaccine might prove its worth.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10896604"
"16","Accelerating the development and future availability of HIV-1 vaccines: why, when, where, and how?","eng","ENGLAND","10885368",2000,7,8,"WHO-UNAIDS HIV Vaccine Initiative, Health Technology and Pharmaceuticals, WHO, Geneva, Switzerland. esparzaj@unaids.org","Esparza","J","J","Bhamarapravati","N","N","J Esparza, N Bhamarapravati","An HIV-1 vaccine offers the best long-term hope to control the AIDS pandemic, especially in less-developed countries. To ensure its future availability we need to increase our research efforts today, including clinical trials. Although small-scale clinical trials of HIV-1 vaccines have been underway since 1987, the first phase III efficacy trials started only recently in the USA and Thailand. Initial results from these trials will be available within the next 2-3 years, and we must start planning now how vaccines should be used if found to be effective. In the meantime, the continuing promotion of the parallel development and assessment of other candidate vaccines is important. Financial mechanisms should also be developed as an incentive to industry and to ensure equitable distribution of future vaccines in less-developed countries. Moreover, a concerted effort is needed to ensure the development and future availability of appropriate vaccines for Africa.An HIV-1 vaccine offers the best long-term hope to control the AIDS pandemic, especially in less-developed countries. To ensure its future availability, an increase in immediate research efforts, including clinical trials is necessary. Although small-scale clinical trials of HIV-1 vaccines have been underway since 1987, the phase 3 efficacy trials started only recently in the US and Thailand. Initial results of these trials will be available within the next 2-3 years, and researchers must start planning how the vaccines should be used if found effective. In the meantime, the continuing promotion of the parallel development and assessment of other candidate vaccines is important. Financial mechanisms should also be developed as an incentive to industry and to ensure equitable distribution of future vaccines in less-developed countries. Moreover, a concerted effort is needed to ensure the development and future availability of appropriate vaccines for Africa.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10885368"
"17","Host factors affecting the delay of reappearance of Plasmodium falciparum after radical treatment among a semi-immune population exposed to intense perennial transmission.","eng","UNITED STATES","10813483",2000,5,17,"Laboratoire de Paludologie, Institut de Recherche pour le Développement, Dakar, Sénégal.","Sokhna","C S","CS","Trape","J F","JF","C S Sokhna, C Rogier, A Dieye, J F Trape","To investigate host factors affecting the delay of reappearance of malaria parasites after radical treatment, a study was undertaken in Dielmo, Senegal, an area of intense perennial malaria transmission. A 7-day course of quinine was administered to 173 asymptomatic persons from 1 to 85 years of age and reappearance of malaria parasites in the peripheral blood was monitored weekly for 14 weeks. Additional thick blood films were made in case of fever as part of a daily clinical surveillance. The median times before reappearance of Plasmodium falciparum were 22, 39, and 53 days among persons 1-6, 7-14, and &gt; or = 15 years of age, respectively (P &lt; 0.0001). Multivariate analysis indicated that the daily rate of reappearance of P. falciparum was 2.2 (95% confidence interval [CI] = 1.2-4.5) times lower in sickle cell trait carriers than in AA individuals, and 1.5 (95% CI = 1.1-2.1) times lower in bed nets users than in non-users. The risk ratio for the daily risk of reappearance was significantly related to the level of parasitemia before treatment. No influence of glucose-6-phosphate dehydrogenase deficiency, HLA-B53, and DR13 were observed. Findings show that monitoring during a few weeks the reappearance of malaria parasites after treatment among a small cohort of individuals naturally exposed to malaria is relevant for investigating host resistance factors. This suggest that small, low-cost, field trials may be very informative on the potential of new malaria vaccine candidates.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10813483"
"18","The evidence base on the cost-effectiveness of malaria control measures in Africa.","eng","ENGLAND","10787646",2000,5,2,"Department of Public Health and Policy, London School of Hygiene and Tropical Medicine, UK. c.goodman@lshtm.ac.uk","Goodman","C A","CA","Mills","A J","AJ","C A Goodman, A J Mills","This review assesses the range and quality of the evidence base on the cost-effectiveness of malaria prevention and treatment in sub-Saharan Africa. Fourteen studies are reviewed, covering insecticide-treated nets, residual spraying, chemoprophylaxis for children, chemoprophylaxis or intermittent treatment for pregnant women, a hypothetical vaccine, and changing the first line drug for treatment. The available evidence provides some guidance to decision-makers. However, the potential to inform policy debates is limited by the gross lack of information on the costs and effects of many interventions, the very small number of cost-effectiveness analyses available, the lack of evidence on the costs and effects of packages of measures, and the problems in generalizing or comparing studies that relate to specific settings and use different methodologies and outcome measures.This article reviews the range and quality of the evidence based on the cost-effectiveness of malaria prevention and treatment in sub-Saharan Africa. About 14 studies were analyzed, covering insecticide-treated nets, residual spraying, chemoprophylaxis for children, chemoprophylaxis or intermittent treatment for pregnant women, a hypothetical vaccine, and changing the first line drug for treatment. Results of the analyses demonstrate that highly cost-effective interventions exist for both prevention and treatment; that approaches to improving treatment are likely to be highly cost-effective; and that given the uncertainty and variation involved, the choice between childhood preventive interventions is not clear-cut due to the considerable overlap in their cost-effectiveness ranges. The review also cites several challenges in using cost-effectiveness estimates for policy-making. In conclusion, evidence from economic evaluations can assist policy-makers in identifying interventions representing the best value for money. Available studies provide some guidance to decision-makers. However, the current potential of economic evaluation to inform policy debates is limited by: the gross lack of information on the costs and effects of many interventions; the very small number of cost-effectiveness analyses available; the lack of evidence on the costs and effects of packages of measures; and the problems generalizing or comparing studies that relate to specific settings and use different methodologies and outcome measures.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10787646"
"19","Health advice and the traveller.","eng","SCOTLAND","10765528",2000,4,15,"Infectious Diseases Unit, Western General Hospital, Edinburgh.","Harris","C B","CB","Welsby","P D","PD","C B Harris, P D Welsby","We studied advice given by travel agents, the experiences of recent travellers, and the hidden costs for travellers to Kenya. There was a wide range of advice given by United Kingdom travel agents, much of it at variance with advice given by other travel agents and much of it incorrect. Nevertheless travel agents have a responsibility to give advice because they are often the only point of contact for health advice.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10765528"
"20","Prevalence of hepatitis B and C in Egypt and Africa.","eng","ENGLAND","10726051",2000,3,22,"Virology and Immunology Unit, Cairo University, Egypt. nciattia@rite.com","Attia","M A","MA","Attia","M A","MA","M A Attia","Hepatitis B and C are, and will remain for some time, major health problems in Egypt and the entire continent of Africa. Both infections can lead to an acute or silent course of liver disease, progressing from liver impairment to cirrhosis and decompensated liver failure or hepatocellular carcinoma (HCC) in a 20-30 year period. In addition, hepatitis B and C infection rates differ in different settings, and prognosis may be worse in conjunction with schistosomiasis in Egypt, malaria in Sudan and human immunodeficiency virus (HIV) in other African populations. Unlike hepatitis B virus (HBV), for which the prospects for controlling the spread of infection by vaccination are promising, prospects for development of an effective vaccine against hepatitis C virus (HCV) are limited. As well as screening of blood for transfusion and using sterile needles for injection, preventive measures should be undertaken to reduce the risk of contact (often described as community-acquired infection). Until more is known about the unidentified routes of transmission in tropical and subtropical settings it will be difficult to be specific about the kind of measures which may be effective. Success may largely depend on changing habits within the population. Prevention should be the main goal of current efforts until low-cost, effective therapies become available.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10726051"
"21","Prospects for pneumococcal vaccination in African children.","eng","NETHERLANDS","10708654",2000,3,10,"Medical Research Council Laboratories, PO Box 273, Fajara, Gambia. sobaro@gamtel.gm","Obaro","S K","SK","Obaro","S K","SK","S K Obaro","Streptococcus pneumoniae (pneumococcus) remains a major cause of morbidity and mortality in both developed and undeveloped countries. Accurate disease burden estimates for developing countries and Africa in particular, where diagnostic facilities are less adequate and a disease surveillance system virtually non-existent, is difficult. However, from conservative estimates, the pneumococcus is probably responsible for at least 1 million of the 4 million deaths that occur from acute lower respiratory infections in children aged less than 5 years. The global burden of disease has been accentuated by the rising menace of multi-drug resistant strains, which defy geographic and racial borders. Thus, now more than ever before, there is an urgent need to identify and implement preventive measures to avert this problem. The currently licensed pneumococcal polysaccharide vaccine, comprises 23 capsular polysaccharides of the pneumococcus, many of which are poorly immunogenic in the very vulnerable age group of under-fives. A possible solution to the problem of poor immunogenicity is to use a protein/polysaccharide conjugate vaccine similar to that recently introduced successfully for Haemophilus influenzae type b (Hib) and using this approach, several workers have reported promising results from safety and immunogenicity studies. However, unlike Hib, the development of conjugate vaccine against pneumococcal disease is complicated by the existence of more serotypes than can be feasibly incorporated in a single conjugate vaccine formulation. Whilst this challenge has been taken on by some vaccine manufacturers, novel approaches such as the identification or construction of protective protein antigen, common to all clinically important strains are being explored. Novel application of the pneumococcal polysaccharide vaccines in pregnancy for protection of disease in early infancy is an approach that has not been evaluated. For maximum impact, the ultimate vaccine formulation should be affordable and available to resource poor countries where the burden of disease is highest. Establishing disease surveillance systems in such countries now will greatly facilitate the introduction of the vaccines.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10708654"
"22","Italian Development Cooperation: the commitment for the struggle against malaria in Africa.","eng","ITALY","10697884",2000,3,4,"Ministry of Foreign Affairs, Rome, Italy. masala@esteri.it","Masala","G","G","Procacci","P","P","G Masala, V Racalbuto, G Gentile, P Procacci","The Italian Development Cooperation (DGCS) support the health reform process in Developing Countries, with the aim to provide populations in greatest need with access to decentralized health services. DGCS acts in close coordination with the donor community, United Nations' system and the World Bank, in agreement with sector-wide approach (SWAP) for health sector development. Since malaria control in endemic countries is a relevant component of the health system, DGCS is actively involved in the struggle against malaria in sub-Saharan Africa, supporting control activities and research capability strengthening. The following African countries are presently receiving bilateral support for antimalaria activities: Burkina Faso, Centre de Lutte contre le Paludisme in Ouagadougou; Ethiopia, community-based malaria control in Tigray; Eritrea, malaria control at national level in the framework of the Public Health and Rehabilitation Programme for Eritrea (PHARPE) initiative; Madagascar, malaria surveillance at national level; Tanzania, feasibility study for the support to the national malaria control programme. Support is provided by technical/financial assistance involving Italian academic and research institutions. On the multilateral channel, DGCS has provided regular contribution for WHO's work in malaria control and participates to the WHO Roll Back Malaria initiative. A new commitment to malaria is the trilateral joint scientific endeavour USA-Italy-Burkina Faso for the development and field testing of a candidate vaccine suitable for African populations.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10697884"
"23","Cost-effectiveness of iron supplementation and malaria chemoprophylaxis in the prevention of anaemia and malaria among Tanzanian infants.","eng","SWITZERLAND","10686744",2000,2,25,"Epidemiology and Biostatistics Unit, Hospital Clinic, Barcelona, Spain. alonso@medicina.ub.es","Alonzo González","M","M","Alonso","P L","PL","M Alonzo González, C Menéndez, F Font, E Kahigwa, J Kimario, H Mshinda, M Tanner, X Bosch-Capblanch, P L Alonso","Prerequisites for effective interventions against severe anaemia and malaria among infants are economic evaluations to aid the setting of priorities and the making of health policy. In the present study we analysed the cost and effectiveness of three control strategies hypothetically delivered through the Expanded Programme on Immunization (EPI). For the prevention of severe anaemia and from the perspective of the health provider, the cost-effectiveness ratios were, respectively, US$ 8, US$ 9, and US$ 21 per disability-adjusted life year (DALY) for malaria chemoprophylaxis with Deltaprim (a combination of 3.125 mg pyrimethamine and 25 mg dapsone) + iron, Deltaprim alone, or iron supplementation alone. For malaria prevention, Deltaprim + iron cost US$ 9.7 per DALY and Deltaprim alone cost US$ 10.2 per DALY. From a sociocultural perspective the cost-effectiveness ratios ranged from US$ 9 to US$ 26 for severe anaemia prevention and from US$ 11 to US$ 12 for the prevention of clinical malaria. These ratios were highly cost-effective, as defined by the World Bank's proposed threshold of less than US$ 25 per DALY for comparative assessments. Furthermore, all the preventive interventions were less costly than the current malaria and anaemia control strategies that rely on clinical case management. This economic analysis supports the inclusion of both malaria chemoprophylaxis and iron supplementation delivered through EPI as part of the control strategies for these major killers of infants in parts of sub-Saharan Africa.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10686744"
"24","Inequality of child mortality among ethnic groups in sub-Saharan Africa.","eng","SWITZERLAND","10686731",2000,2,25,"Policy Research Division, Population Council, New York, NY 10017, USA.","Brockerhoff","M","M","Hewett","P","P","M Brockerhoff, P Hewett","Accounts by journalists of wars in several countries of sub-Saharan Africa in the 1990s have raised concern that ethnic cleavages and overlapping religious and racial affiliations may widen the inequalities in health and survival among ethnic groups throughout the region, particularly among children. Paradoxically, there has been no systematic examination of ethnic inequality in child survival chances across countries in the region. This paper uses survey data collected in the 1990s in 11 countries (Central African Republic, Côte d'Ivoire, Ghana, Kenya, Mali, Namibia, Niger, Rwanda, Senegal, Uganda, and Zambia) to examine whether ethnic inequality in child mortality has been present and spreading in sub-Saharan Africa since the 1980s. The focus was on one or two groups in each country which may have experienced distinct child health and survival chances, compared to the rest of the national population, as a result of their geographical location. The factors examined to explain potential child survival inequalities among ethnic groups included residence in the largest city, household economic conditions, educational attainment and nutritional status of the mothers, use of modern maternal and child health services including immunization, and patterns of fertility and migration. The results show remarkable consistency. In all 11 countries there were significant differentials between ethnic groups in the odds of dying during infancy or before the age of 5 years. Multivariate analysis shows that ethnic child mortality differences are closely linked with economic inequality in many countries, and perhaps with differential use of child health services in countries of the Sahel region. Strong and consistent results in this study support placing the notion of ethnicity at the forefront of theories and analyses of child mortality in Africa which incorporate social, and not purely epidemiological, considerations. Moreover, the typical advantage of relatively small, clearly defined ethnic groups, as compared to the majority in the national population, according to fundamental indicators of wellbeing--child survival, education, housing, and so forth--suggests that many countries in sub-Saharan Africa, despite their widespread poverty, are as marked by social inequality as are countries in other regions in the world.This paper uses survey data gathered in the 1990s from 11 countries to examine whether ethnic differentials in child mortality has been pronounced and spreading across sub-Saharan Africa since 1980s. Data were obtained from the Demographic and Health Surveys of the 11 countries conducted between 1990 and 1995. In each survey, women of reproductive age were asked for their ethnic affiliation. The study focused on one or two groups in each country experiencing distinct child health and survival chances. The factors examined to explain potential child survival inequalities among ethnic groups included residence in the largest city, household economic conditions, education attainment and nutritional status of mothers, use of modern maternal and child health services, and patterns of fertility and migration. Findings revealed that in 11 countries there were significant differentials between ethnic groups in the odds of dying during infancy or before the age of 5 years. Multivariate analysis showed that ethnic child mortality differences were closely linked to economic inequality in many countries and perhaps with differential use of child health services in countries of the Sahel region.","http://www.ncbi.nlm.nih.gov/pubmed/?term=10686731"
