,title,language,country,id,year,month,day,affiliation,first _author_last_name,first _author_first_name,first _author_initials,last _author_last_name,last _author_first_name,last _author_initials,all_authors,abstract,url,useful,row_number
255,The cost-effectiveness of alternative polio immunization policies in South Africa.,eng,Netherlands,S0264-410X(06)00589-5,2006,6,13,"London School of Hygiene and Tropical Medicine, Health Policy Unit, Keppel Street, London WC1E 7HT, UK. ulla.griffiths@lshtm.ac.uk",Griffiths,Ulla K,UK,Schoub,Barry D,BD,"Ulla K Griffiths, Lindsay Botham, Barry D Schoub","AIMS: To assess the cost-effectiveness of switching from oral polio vaccine (OPV) to inactivated poliovirus vaccine (IPV), or to cease polio vaccination in routine immunization services in South Africa at the time of OPV cessation globally following polio eradication.METHODS: The cost-effectiveness of nine different polio immunization alternatives were evaluated. The costs of introducing IPV in a separate vial as well as in different combination vaccines were estimated, and IPV schedules with 2, 3 and 4 doses were compared with the current 6-dose OPV schedule. Assumptions about IPV prices were based on indications from vaccine manufacturers. The health impact of OPV cessation was measured in terms of vaccine associated paralytic paralysis (VAPP) cases and disability adjusted life years (DALYs) averted.CONCLUSIONS: The use of OPV in routine immunization services is predicted to result in 2.96 VAPP cases in the 2005 cohort. The cost-effectiveness of the different IPV alternatives varies between US$ 740,000 and US$ 7.2 million per VAPP case averted. The costs per discounted DALY averted amount to between US$ 61,000 and US$ 594,000. Among the IPV strategies evaluated, the 2-dose schedule in a 10-dose vial is the most cost-effective option. At the assumed vaccine prices, all IPV options do not appear to be cost-effective in the South African situation. OPV cessation without IPV replacement would result in cost savings of US$ 1.6 million per year compared to the current situation. This is approximately a 9% decrease in the budget for vaccine delivery in South Africa. However, with this option there is a risk (albeit small) of vaccine-derived poliovirus circulating in a progressively susceptible population. For IPV in a single dose vial, the break-even price, at which the costs of IPV delivery equal the current OPV delivery costs, is US$ 0.39.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(06)00589-5,no,51
262,Effect of BCG vaccination on childhood tuberculous meningitis and miliary tuberculosis worldwide: a meta-analysis and assessment of cost-effectiveness.,eng,England,S0140-6736(06)68507-3,2006,4,18,"Infectious Disease Epidemiology Unit, London School of Hygiene and Tropical Medicine, London, UK.",Trunz,B Bourdin,BB,Dye,C,C,"B Bourdin Trunz, Pem Fine, C Dye","BACKGROUND: BCG vaccine has shown consistently high efficacy against childhood tuberculous meningitis and miliary tuberculosis, but variable efficacy against adult pulmonary tuberculosis and other mycobacterial diseases. We assess and compare the costs and effects of BCG as an intervention against severe childhood tuberculosis in different regions of the world.METHODS: We calculated the number of tuberculous meningitis and miliary tuberculosis cases that have been and will be prevented in all children born in 2002, by combining estimates of the annual risk of tuberculosis infection, the proportion of infections that lead to either of these diseases in unvaccinated children, the number of children vaccinated, and BCG efficacy.FINDINGS: We estimated that the 100.5 million BCG vaccinations given to infants in 2002 will have prevented 29,729 cases of tuberculous meningitis (5th-95th centiles, 24,063-36,192) in children during their first 5 years of life, or one case for every 3435 vaccinations (2771-4177), and 11,486 cases of miliary tuberculosis (7304-16,280), or one case for every 9314 vaccinations (6172-13,729). The numbers of cases prevented would be highest in South East Asia (46%), sub-Saharan Africa (27%), the western Pacific region (15%), and where the risk of tuberculosis infection and vaccine coverage are also highest. At US2-3 dollars per dose, BCG vaccination costs US206 dollars (150-272) per year of healthy life gained.INTERPRETATION: BCG vaccination is a highly cost-effective intervention against severe childhood tuberculosis; it should be retained in high-incidence countries as a strategy to supplement the chemotherapy of active tuberculosis.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0140-6736(06)68507-3,no,52
271,Economic evaluation of hepatitis B vaccination in low-income countries: using cost-effectiveness affordability curves.,eng,Switzerland,S0042-96862007001100009,2007,11,27,"Program in Health Decision Science, Health Policy and Management Department, Harvard School of Public Health, Boston, MA 02115, USA.",Kim,Sun-Young,SY,Goldie,Sue J,SJ,"Sun-Young Kim, Joshua A Salomon, Sue J Goldie","OBJECTIVE: We sought to describe a method that explicitly considers both a health-care programmes cost-effectiveness and its affordability. For illustration, we apply the method to the programme to vaccinate infants against hepatitis B in the Gambia.METHODS: We synthesized selected data and developed a computer-based model from the societal and payer perspectives to evaluate the cost-effectiveness of routine infant vaccination against hepatitis B in the Gambia compared with no vaccination. The primary outcome measure was cost per averted disability-adjusted life year (DALY), which was expressed in 2002 US dollars. We used Monte Carlo methods for uncertainty analysis to examine the affordability of the programme from the payers perspective, and we derived an affordability curve and cost-effectiveness affordability curves for the programme.FINDINGS: In the Gambia, vaccinating infants against hepatitis B is highly cost-effective. Compared with offering no intervention, the vaccination programme would cost US$ 28 per DALY averted from the societal perspective or US$ 47 per DALY averted from the payers perspective. The programme also has the potential to be affordable, starting at a relatively low budget of US$ 160,000 per year. Combining the two dimensions of the outcome measure, the probability that vaccinating infants would be both cost-effective and affordable is 40% at an annual programme budget of US$ 182,000 (the estimated total programme cost from the payers perspective), given a threshold cost-effectiveness value of US$ 47 per DALY averted.CONCLUSION: In the face of uncertainties about both the health and economic consequences of a vaccine programme, as well as the availability and magnitude of resources needed to fund the programme, cost-effectiveness affordability curves can provide information to decision-makers about the probability that a programme will be both cost-effective and affordable: these are distinct but equally relevant considerations in resource-poor settings.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0042-96862007001100009,no,54
280,Economic evaluation of delivering Haemophilus influenzae type b vaccine in routine immunization services in Kenya.,eng,United Kingdom,S0042-96862007000700008,2007,9,5,"Kenya Medical Research Institute (KEMRI)/Wellcome Trust. Nairobi, Kenya.",Akumu,Angela Oloo,AO,Griffiths,Ulla K,UK,"Angela Oloo Akumu, Mike English, J Anthony G Scott, Ulla K Griffiths","OBJECTIVE: Haemophilus influenzae type b (Hib) vaccine was introduced into routine immunization services in Kenya in 2001. We aimed to estimate the cost-effectiveness of Hib vaccine delivery.METHODS: A model was developed to follow the Kenyan 2004 birth cohort until death, with and without Hib vaccine. Incidence of invasive Hib disease was estimated at Kilifi District Hospital and in the surrounding demographic surveillance system in coastal Kenya. National Hib disease incidence was estimated by adjusting incidence observed by passive hospital surveillance using assumptions about access to care. Case fatality rates were also assumed dependent on access to care. A price of US$ 3.65 per dose of pentavalent diphtheria-tetanus-pertussis-hep B-Hib vaccine was used. Multivariate Monte Carlo simulations were performed in order to assess the impact on the cost-effectiveness ratios of uncertainty in parameter values.FINDINGS: The introduction of Hib vaccine reduced the estimated incidence of Hib meningitis per 100,000 children aged &lt; 5 years from 71 to 8; of Hib non-meningitic invasive disease from 61 to 7; and of non-bacteraemic Hib pneumonia from 296 to 34. The costs per discounted disability adjusted life year (DALY) and per discounted death averted were US$ 38 (95% confidence interval, CI: 26-63) and US$ 1197 (95% CI: 814-2021) respectively. Most of the uncertainty in the results was due to uncertain access to care parameters. The break-even pentavalent vaccine price--where incremental Hib vaccination costs equal treatment costs averted from Hib disease--was US$ 1.82 per dose.CONCLUSION: Hib vaccine is a highly cost-effective intervention in Kenya. It would be cost-saving if the vaccine price was below half of its present level.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0042-96862007000700008,no,56
283,"An economic evaluation of thermostable vaccines in Cambodia, Ghana and Bangladesh.",eng,Netherlands,S0264-410X(07)00758-X,2007,8,21,ann@levinmorgan.com,Levin,Ann,A,Matthias,Dipika,D,"Ann Levin, Carol Levin, Debra Kristensen, Dipika Matthias","This paper evaluates the incremental health and programmatic cost impacts of new vaccine products, as compared to the standard vaccine products in multi-dose vials in Cambodia, Ghana, and Bangladesh. The authors use a cost-effectiveness model to estimate the impacts of introducing four thermostable vaccines with single-dose presentations: measles, yellow fever, bacille Calmette-Guérin, and diphtheria-tetanus-pertussis-hepatitis B. The effectiveness of all of the vaccines increases with the thermostable formats. The incremental costs associated with the introduction of thermostable vaccines increases for three out of four vaccines. Single-dose presentations of thermostable vaccines are potentially cost-effective interventions to reduce childhood deaths and disability in low-resource settings in Asia and Africa.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(07)00758-X,no,57
314,Haemophilus influenzae type b vaccine impact in resource-poor settings in Asia and Africa.,eng,England,10.1586/14760584.8.1.91,2008,12,20,"Agence de Médecine Préventive, 25 rue du Dr Roux, 75724 Paris cedex 15, France. 106617.3011@compuserve.com",Gessner,Bradford D,BD,Gessner,Bradford D,BD,Bradford D Gessner,"The Haemophilus influenzae type b (Hib) conjugate vaccine has been administered for almost 20 years in developed countries with remarkable success. More recently, the vaccine has been introduced in resource-poor settings, mainly those in Africa. African countries have documented large declines in Hib-invasive disease following universal vaccine introduction based on evaluation of routine surveillance data. As of 2007, only Mongolia in Asia had introduced the vaccine. Consequently, studies are limited to clinical trials in Bangladesh and Indonesia, and these also demonstrate substantial vaccine impact. Beyond invasive disease, three pivotal trials in Africa and Asia have demonstrated vaccine impact against clinical pneumonia end points. In all settings evaluated, Hib vaccine was shown to be cost effective, although the vaccine is not yet cost saving based on pentavalent vaccine prices in excess of US$3 per dose. Future issues include monitoring for serotype replacement and the effects of the HIV epidemic, evaluating the usefulness of a booster dose or new vaccine schedules and working to lower vaccine prices.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1586/14760584.8.1.91,no,61
320,Low-cost interventions accelerate epidemiological transition in Upper East Ghana.,eng,England,S0035-9203(08)00388-X,2008,11,8,"Department of Gerontology, Leiden University Medical Centre, C-2-R, P.O. Box 9600, 2300 RC Leiden, The Netherlands. j.j.meij@lumc.nl",Meij,J J,JJ,Westendorp,R G J,RG,"J J Meij, A J M de Craen, J Agana, D Plug, R G J Westendorp","Before the 1950s effective medical interventions were not available and epidemiological transition in developing countries was mostly initiated by the introduction of mains water, sewage systems and personal hygiene. Nowadays, effective medical interventions such as vaccination programmes, medication and vitamin supplements might aid a swift transition. We recorded mortality among a research population of 18850 in Garu-Tempane district of Ghana from 2002 to 2005. We calculated the expected mortality based on the population structure in 2002 and compared the life expectancy of the region with other countries depending on their gross domestic product (GDP). Mortality in the age group 0-9 years was 8.1 per 1000 person-years and in the age group 10-19 years it was 4.1 per 1000 person-years. Cumulative survival probability up to age 20 years amounted to 89% and was far higher than expected. Observed and expected mortality in old age were similar. The life expectancy at birth was 59 years and much higher than the region's per capita annual income of US$100 would predict. We conclude that the population is in epidemiological transition. It shows that an epidemiological transition can be accelerated with low-cost interventions.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0035-9203(08)00388-X,no,62
335,Foot-and-mouth disease vaccination in South Sudan: benefit-cost analysis and livelihoods impact.,eng,Germany,JVA1042,2008,9,13,"Vétérinaires sans frontières Suisse, Nairobi, Kenya.",Barasa,M,M,Ikiror,D,D,"M Barasa, A Catley, D Machuchu, H Laqua, E Puot, D Tap Kot, D Ikiror","A benefit-cost analysis of vaccination for foot-and-mouth disease (FMD) was conducted in an area of South Sudan, which due to chronic conflict, had been subject to large-scale humanitarian assistance for many years. The study used participatory epidemiology (PE) methods to estimate the prevalence and mortality of acute and chronic FMD in different age groups of cattle, and the reduction in milk off-take in cows affected by FMD. The benefit-cost of FMD vaccination was 11.5. Losses due to the chronic form of FMD accounted for 28.2% of total FMD losses, indicating that future benefit-cost analyses for FMD control in pastoral and agropastoral areas of Africa need to consider losses caused by chronic disease. Participatory epidemiological methods were also used to assess the importance of milk in the diet of Nuer agropastoralists, and seasonal variations in diet in relation to cattle movements and FMD outbreaks. Marked seasonal variation in diet included a 'hunger gap' period during which households were highly dependent on milk as their main source of food. Outbreaks of FMD occurred immediately before this period of milk dependency, with chronic losses extending through this period and affecting human food security. The paper discusses the need and feasibility of mass vaccination and strategic vaccination for FMD in South Sudan. The paper also discusses the value of combining conventional benefit-cost analysis with livelihoods analysis to inform disease control efforts and funding commitments in humanitarian contexts.",http://www.ncbi.nlm.nih.gov/pubmed/?term=JVA1042,no,63
339,From strategy development to routine implementation: the cost of Intermittent Preventive Treatment in Infants for malaria control.,eng,England,1472-6963-8-165,2008,8,2,"Ifakara Health Research and Development Centre, Ifakara, Tanzania. manzif@yahoo.com",Manzi,Fatuma,F,Schellenberg,David,D,"Fatuma Manzi, Guy Hutton, Joanna Schellenberg, Marcel Tanner, Pedro Alonso, Hassan Mshinda, David Schellenberg","BACKGROUND: Achieving the Millennium Development Goals for health requires a massive scaling-up of interventions in Sub Saharan Africa. Intermittent Preventive Treatment in infants (IPTi) is a promising new tool for malaria control. Although efficacy information is available for many interventions, there is a dearth of data on the resources required for scaling up of health interventions.METHOD: We worked in partnership with the Ministry of Health and Social Welfare (MoHSW) to develop an IPTi strategy that could be implemented and managed by routine health services. We tracked health system and other costs of (1) developing the strategy and (2) maintaining routine implementation of the strategy in five districts in southern Tanzania. Financial costs were extracted and summarized from a costing template and semi-structured interviews were conducted with key informants to record time and resources spent on IPTi activities.RESULTS: The estimated financial cost to start-up and run IPTi in the whole of Tanzania in 2005 was US$1,486,284. Start-up costs of US$36,363 were incurred at the national level, mainly on the development of Behaviour Change Communication (BCC) materials, stakeholders' meetings and other consultations. The annual running cost at national level for intervention management and monitoring and drug purchase was estimated at US$459,096. Start-up costs at the district level were US$7,885 per district, mainly expenditure on training. Annual running costs were US$170 per district, mainly for printing of BCC materials. There was no incremental financial expenditure needed to deliver the intervention in health facilities as supplies were delivered alongside routine vaccinations and available health workers performed the activities without working overtime. The economic cost was estimated at 23 US cents per IPTi dose delivered.CONCLUSION: The costs presented here show the order of magnitude of expenditures needed to initiate and to implement IPTi at national scale in settings with high Expanded Programme on Immunization (EPI) coverage. The IPTi intervention appears to be affordable even within the budget constraints of Ministries of Health of most sub-Saharan African countries.",http://www.ncbi.nlm.nih.gov/pubmed/?term=1472-6963-8-165,no,65
348,The cost of Child Health Days: a case study of Ethiopia's Enhanced Outreach Strategy (EOS).,eng,England,czn015,2008,6,20,"Social Sectors Development Strategies, Boston, MA, USA. jfiedler@ssds.net",Fiedler,John L,JL,Chuko,Tesfaye,T,"John L Fiedler, Tesfaye Chuko","Child Health Days (CHDs) are twice-annual campaign-style events designed to increase the coverage of vitamin A and one or more other child health services. Although more than two dozen countries have had a CHD, little has been published about them. This paper presents an activity-based costing study of Ethiopia's version of CHDs, the Enhanced Outreach Strategy (EOS). The December 2006 round reached more than 10 million beneficiaries at an average cost per beneficiary of US$0.56. When measles is added, the cost of the package doubles. Given the way the distribution day delivery system and the service package are structured, there are economies of scope. Because most of the costs are determined by the number of delivery sites and are independent of the number of beneficiaries, other things equal, increasing the beneficiaries would reduce the average cost per beneficiary. Taking into account only the mortality impact of vitamin A, EOS saved 20,200 lives and averted 230,000 DALYs of children 6-59 months. The average cost per life saved was US$228 and the cost per DALY averted was equivalent to 6% of per capita GDP (US$9), making the EOS cost-effective, according to WHO criteria. While CHDs are generally construed as a temporary strategy for improving coverage of supply-constrained systems, inadequate attention has been paid to demand-side considerations that suggest CHDs have an important role to play in changing care-seeking behaviour, in increasing community organization and participation, and in promoting district autonomy and capacity. Recognition of these effects suggests the need for decisions about where and when to introduce, and when to end, a CHD to take into account more than 'just' health sector considerations: they are more broadly about community development. UNICEF played a key role in initiating the EOS and finances 68% of costs, raising concern about the programme's long-term sustainability.",http://www.ncbi.nlm.nih.gov/pubmed/?term=czn015,no,66
357,Economic issues in vaccination against highly pathogenic avian influenza in developing countries.,eng,Switzerland,18411936,2008,4,17,"Livestock Information, Sector Analysis and Policy Branch, Animal Production and Health Division, Food and Agriculture Organization of the United Nations, Rome, Italy. anni.mcleod@fao.org",McLeod,A,A,Loth,L,L,"A McLeod, J Rushton, A Riviere-Cinnamond, B Brandenburg, J Hinrichs, L Loth","We consider the use of vaccination against highly pathogenic avian influenza (HPAI) in three contexts: as part of a stamping-out programme, as a government-led action for disease prevention and as private insurance by farmers. Poultry systems in developing countries cover all four of the poultry sectors defined by FAO and the OIE, each with particular economic aspects that might motivate farmers to take part in vaccination programmes or to initiate and finance them. Outbreaks in flocks of different types have different potential impacts in terms of disease spread and economic effects, which influence the potential benefits of vaccination as a means to prevent or control outbreaks. We use data from three countries to illustrate the costs of vaccination and discuss measures of cost-effectiveness and ways to improve it. We also consider the question of funding sources and their impact on the sustainability of vaccination programmes.",http://www.ncbi.nlm.nih.gov/pubmed/?term=18411936,no,68
359,Using immunization delivery strategies to accelerate progress in Africa towards achieving the Millennium Development Goals.,eng,Netherlands,S0264-410X(08)00159-X,2008,3,18,"Centre for International Health, The Macfarlane Burnet Institute for Medical Research and Public Health Ltd., GPO Box 2284, Commercial Road, Melbourne, VIC 3004, Australia. john@clem.com.au",Clements,C John,CJ,Gasasira,Alex,A,"C John Clements, Deo Nshimirimanda, Alex Gasasira","Integration of health services brings together common functions within and between organizations to solve common problems, developing a commitment to a shared vision and goals, and using common technologies and resources to achieve these goals. Integration has been the frustrated rally call of Primary Health Care for 30 years. This paper discusses the process of integrating child survival strategies and other heath services with immunization in Africa. Immunization is arguably the most successful health programme throughout the continent, making it the logical vehicle for add-on services. Strong health systems are the best way of delivering cost-effective child survival interventions in a most sustainable manner. But the reality in many African countries is that health systems have been weak for a number of reasons. Joining additional cost-effective child survival interventions on to immunization services may provide the needed boost. The unacceptably high childhood mortality in parts of Africa makes it the ideal location to undertake this exercise. The urgency to scale-up child survival interventions that have proven cost-effective is especially important if the Millennium Development Goals (MDGs) are to be met by 2015. Africa has more to loose than most in failing to scale up to meet these goals, bearing as it does the highest burden of childhood mortality in the world. But so far, prospects do not look good for achieving MDG-4 for the countries with the highest mortality rates. The timeliness of this initiative towards integration could not be better. In the last five years, countries in Africa have received massive injections of financial resources for polio eradication and measles control as well as additional funding for a range of immunization-strengthening activities and the introduction of new and under-utilized vaccines. While the data to support integration are limited, the information to hand suggests the effectiveness of the strategy. Where immunization performance is strong, immunization contacts may be excellent vehicles for additional interventions such as de-worming or Integrated Management of Childhood Illness (IMCI). But where an immunization service is struggling, adding another child survival intervention on to immunization might be the straw that breaks its back. Health managers have a wide range of options for adding on to immunization services, but the best choice will depend very much on local situations.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(08)00159-X,no,69
361,Community pharmacies as possible centres for routine immunization.,eng,Nigeria,18320757,2008,3,7,"Department of Clinical Pharmacy and Biopharmacy, Faculty of Pharmacy, University of Lagos.",Aderemi-Williams,R I,RI,Igwilo,C I,CI,"R I Aderemi-Williams, C I Igwilo","BACKGROUND: Nigeria has embraced the primary healthcare movement and has committed its resources to the provision of cost effective community based primary healthcare strategy which recognizes the need for effective partnership between public and private sector. Immunizations are important part of this effort, especially the provision of the vaccines incorporated into the national Expanded Programme on Immunization (EPI) which has now metamorphosis to National Programme on Immunization (NPI) due to decline in immunization coverage. Community pharmacies can be involved in immunization to improve coverage as has been shown in the United States of America (U.S.A) that this led to great improvement in immunization coverage. The need to find out if this can also be adopted in Nigeria is the objective of this work.OBJECTIVES: This study therefore aimed to have an insight into current interest of community pharmacists to be involved in routine immunization and assess their physical structures for possible adaptation for use in routine immunization.METHOD: Sixty (60) pre-tested questionnaires were randomly administered to community pharmacists. Forty-three (43) questionnaires were retrieved for analysis.RESULTS: The study revealed that the use of community pharmacies as places where routine immunization services can be provided is feasible as shown by 95.3% interest expressed by community pharmacists. Most of the required infrastructures to carry out these services are on the ground as shown by availability of adequate space (88.4%), stand-by generator (83.7%) and functional fridge/ freezer (95.3%). Community pharmacists (88.4%) expect to be remunerated for providing this service.CONCLUSION: This study has shown the willingness of community pharmacists to participate in immunization efforts and the possibility of using pharmacies in routine immunization.",http://www.ncbi.nlm.nih.gov/pubmed/?term=18320757,no,70
374,Evaluating the cost-effectiveness of rabies post-exposure prophylaxis: a case study in Tanzania.,eng,United Kingdom,S0264-410X(09)01351-6,2009,11,21,"Department of Epidemiology &amp; Public Health, Yale University School of Medicine, 60 College Street, New Haven, CT 06510, USA. eunha.shim@yale.edu",Shim,Eunha,E,Galvani,Alison P,AP,"Eunha Shim, Katie Hampson, Sarah Cleaveland, Alison P Galvani","Although fatal if untreated, human rabies can be prevented through post-exposure prophylaxis (PEP), which involves a course of vaccination and immunoglobulin administered immediately after exposure. However, high costs and frequent lack of rabies vaccine and immunoglobulin lead to about 55,000 deaths per year worldwide. Using data from a detailed study of rabies in Tanzania, we calculate a cost-effectiveness ratio for PEP when the WHO-recommended Essen regimen, a 5-dose intramuscular vaccination schedule, is adopted. Our analyses indicate a cost-effectiveness ratio for PEP of $27/quality-adjusted life year (QALY) from a health care perspective and $32/QALY from a societal perspective in Tanzania. From both perspectives, it is &quot;very cost-effective&quot; to administer PEP to patients bitten by an animal suspected to be rabid. Moreover, PEP remains &quot;very cost-effective&quot; provided that at least 1% of doses are administered to people who were actually exposed to rabies.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(09)01351-6,no,71
375,The impact of immunization on the association between poverty and child survival: evidence from Kassena-Nankana District of northern Ghana.,eng,Sweden,1403494809352532,2009,11,4,"The INDEPTH Network, PO Box KD 213, Accra, Ghana. aabawah@gmail.com",Bawah,Ayaga A,AA,Binka,Fred N,FN,"Ayaga A Bawah, James F Phillips, Martin Adjuik, Maya Vaughan-Smith, Bruce Macleod, Fred N Binka","BACKGROUND: Research conducted in Africa has consistently demonstrated that parental poverty and low educational attainment adversely affect child survival. Research conducted elsewhere has demonstrated that low-cost vaccines against preventable diseases reduce childhood mortality. Therefore, the extension of vaccination to impoverished populations is widely assumed to diminish equity effects. Recent evidence that childhood mortality is increasing in many countries where vaccination programmes are active challenges this assumption.DATA AND METHODS: This paper marshals data from accurate and complete immunization records and survival histories for 18,368 children younger than five years in a rural northern Ghanaian population that is generally impoverished, but where family wealth and parental educational differentials exist nonetheless. Time-conditional Weibull hazard models are estimated to test the hypothesis that childhood immunization offsets the detrimental effects of poverty and low educational attainment.CONCLUSIONS: Findings show that the adverse effects of poverty disappear and that the effects of educational attainment are reduced in survival models that control for immunization status. This finding lends empirical support to policies that promote immunization as a strategic component of poverty-reduction programmes.",http://www.ncbi.nlm.nih.gov/pubmed/?term=1403494809352532,no,72
376,Costs for households and community perception of meningitis epidemics in burkina faso.,eng,United States,10.1086/644623,2009,10,22,"Agence de Médecine Préventive, Ferney-Voltaire, France. acolombini@aamp.org",Colombini,Anaïs,A,Da Silva,Alfred,A,"Anaïs Colombini, Fernand Bationo, Sylvie Zongo, Fatoumata Ouattara, Ousmane Badolo, Philippe Jaillard, Emmanuel Seini, Bradford D Gessner, Alfred Da Silva","Bacterial meningitis in the African meningitis belt remains 1 of the most serious threats to health. The perceptions regarding meningitis in local populations and the cost of illness for households are not well described. We conducted an anthropologic and economic study in Burkina Faso, in the heart of the meningitis belt. Respondents reported combining traditional and modern beliefs regarding disease etiology, which in turn influenced therapeutic care-seeking behavior. Households spent US $90 per meningitis case, or 34% of the annual gross domestic product per capita, and up to US $154 more when meningitis sequelae occurred. Much of this cost was attributable to direct medical expenses, which in theory are paid by the government. Preventive immunization against meningitis will overcome limitations imposed by traditional beliefs and contribute to poverty reduction goals.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1086/644623,no,73
378,Cost-effectiveness of new-generation oral cholera vaccines: a multisite analysis.,eng,United States,19824189,2009,10,14,"Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA. jeuland@email.unc.edu",Jeuland,Marc,M,Chatterjee,S,S,"Marc Jeuland, Joseph Cook, Christine Poulos, John Clemens, Dale Whittington, B Maskery, D Lauria, J Stewart, M Lucas, Z Islam, R Malik, M Najib, S Chatterjee","OBJECTIVES: We evaluated the cost-effectiveness of a low-cost cholera vaccine licensed and used in Vietnam, using recently collected data from four developing countries where cholera is endemic. Our analysis incorporated new findings on vaccine herd protective effects.METHODS: Using data from Matlab, Bangladesh, Kolkata, India, North Jakarta, Indonesia, and Beira, Mozambique, we calculated the net public cost per disability-adjusted life year avoided for three immunization strategies: 1) school-based vaccination of children 5 to 14 years of age; 2) school-based vaccination of school children plus use of the schools to vaccinate children aged 1 to 4 years; and 3) community-based vaccination of persons aged 1 year and older.RESULTS: We determined cost-effectiveness when vaccine herd protection was or was not considered, and compared this with commonly accepted cutoffs of gross domestic product (GDP) per person to classify interventions as cost-effective or very-cost effective. Without including herd protective effects, deployment of this vaccine would be cost-effective only in school-based programs in Kolkata and Beira. In contrast, after considering vaccine herd protection, all three programs were judged very cost-effective in Kolkata and Beira. Because these cost-effectiveness calculations include herd protection, the results are dependent on assumed vaccination coverage rates.CONCLUSIONS: Ignoring the indirect effects of cholera vaccination has led to underestimation of the cost-effectiveness of vaccination programs with oral cholera vaccines. Once these effects are included, use of the oral killed whole cell vaccine in programs to control endemic cholera meets the per capita GDP criterion in several developing country settings.",http://www.ncbi.nlm.nih.gov/pubmed/?term=19824189,no,74
381,Cost-benefit analysis of a rotavirus immunization program in the Arab Republic of Egypt.,eng,United States,10.1086/605057,2009,10,13,"Arizona State University at the West Campus, Phoenix, Arizona, USA. omayra.ortega@asu.edu",Ortega,Omayra,O,Riddle,Mark S,MS,"Omayra Ortega, Nasr El-Sayed, John W Sanders, Zakaria Abd-Rabou, Lynn Antil, Joseph Bresee, Adel Mansour, Ibrahim Adib, Isabelle Nahkla, Mark S Riddle","BACKGROUND: The availability of rotavirus vaccines makes the implementation of a national immunization program an important decision requiring economic considerations.METHODS: A cost-benefit analysis of a national rotavirus immunization program in Egypt, from the perspective of the Ministry of Health and Population, and a cost-effectiveness analysis, from a societal perspective, were conducted.RESULTS: For a birth cohort of 1.9 million children, a vaccination program was estimated to prevent 1,140,496 episodes of diarrhea, 438,395 outpatient visits, and 47,508 hospitalizations and to save 2873 lives, resulting in direct Ministry of Health and Population medical savings of $2,481,792 (14,369,578 Egyptian pounds [LE]). On the basis of a $9.18 (53 LE) single-dose cost, rotavirus vaccine introduction would cost the Ministry of Health and Population $34,203,445.87 (198,037,951.56 LE) in health expenditures. This equates to an incremental cost of $30.22 (174.95 LE) per infection prevented. Vaccination would prevent the loss of 94,993 disability-adjusted life-years, resulting in an incremental cost-effectiveness ratio of $363 per disability-adjusted life-year.CONCLUSIONS: The introduction of rotavirus vaccine to the national immunization program was not found to be cost saving based strictly from the Ministry of Health and Population perspective; however, the potential benefits of long-term health and economic gains from reduced mortality and morbidity, decreased direct costs of care for families, and indirect societal costs should be considered in such decisions.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1086/605057,no,76
